Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
1996,05,19,08:59:46,40.2312,29.5034,7,3.2,"TURKEY",832496386
1999,08,19,07:20:20,40.717,29.406,7,3.2,"TURKEY",935047220
2003,07,24,10:49:27,40.399,28.64,7,3.2,"TURKEY",1059043767
2007,11,26,01:47:35,40.7522,28.0713,7,3.2,"TURKEY",1196041655
1996,02,29,18:11:29,40.7096,30.0775,6.8,3.2,"TURKEY",825617489
1996,07,24,00:57:44,40.5086,29.5298,6.8,3.2,"TURKEY",838169864
1997,09,26,19:10:21,40.6452,29.0332,6.8,3.2,"TURKEY",875301021
1997,07,16,20:13:27,40.6541,29.8461,6.7,3.2,"TURKEY",869084007
2000,01,18,14:18:19,41.55,28.432,6.7,3.2,"TURKEY",948205099
2000,12,21,21:12:23,40.778,28.965,6.7,3.2,"TURKEY",977433143
1984,01,19,06:57:24,40.1217,29.313,6.4,3.2,"TURKEY",443343444
1991,05,01,11:36:36,40.7534,29.1846,6.4,3.2,"TURKEY",673097796
1996,10,12,19:51:30,40.422,29.1879,6.3,3.2,"TURKEY",845149890
1999,08,24,09:53:45,40.836,29.879,6.3,3.2,"TURKEY",935488425
1999,09,16,01:26:47,40.783,29.945,6.3,3.2,"TURKEY",937445207
1999,11,09,10:03:20,40.78,30.078,6.3,3.2,"TURKEY",942141800
1999,11,18,21:49:47,40.686,29.11,6.2,3.2,"TURKEY",942961787
1987,02,09,02:24:28,40.6047,29.0287,6.1,3.2,"TURKEY",539835868
1987,09,08,12:13:58,40.6722,29.6533,6,3.2,"TURKEY",558101638
1999,08,20,07:03:02,40.454,28.756,6,3.2,"TURKEY",935132582
2002,07,03,10:08:15,40.552,28.932,6,3.2,"TURKEY",1025690895
2004,05,10,17:12:57,40.682,29.239,6,3.2,"TURKEY",1084209177
1991,09,28,00:34:10,40.6719,29.717,5.9,3.2,"TURKEY",686018050
2000,11,26,09:01:14,40.611,29.086,5.9,3.2,"TURKEY",975229274
1999,12,12,17:07:19,40.699,30.053,5.8,3.2,"TURKEY",945018439
1986,03,02,10:39:18,40.8463,28.0079,5.6,3.2,"TURKEY",510143958
1986,08,22,06:45:58,40.169,28.3209,5.3,3.2,"TURKEY",525077158
1991,07,19,05:11:36,40.1477,29.1194,5.2,3.2,"TURKEY",679900296
1995,07,24,05:40:29,40.4561,28.6805,5.2,3.2,"TURKEY",806564429
1999,08,18,09:06:44,40.861,30.036,5.1,3.2,"TURKEY",934967204
1983,11,04,02:26:47,40.1647,29.4087,5,3.2,"TURKEY",436760807
1986,03,05,13:49:35,40.8662,28.0009,5,3.2,"TURKEY",510414575
1994,06,15,10:53:45,40.665,29.9671,5,3.2,"TURKEY",771677625
1995,05,10,08:01:51,40.75,28.71,5,3.2,"TURKEY",800092911
1998,08,31,21:15:39,40.7232,29.0321,5,3.2,"TURKEY",904598139
1999,05,29,22:43:55,40.814,28.731,5,3.2,"TURKEY",928017835
1999,08,17,21:50:49,40.816,30.018,5,3.2,"TURKEY",934926649
1999,08,19,11:41:00,40.777,29.669,5,3.2,"TURKEY",935062860
1999,08,19,15:20:33,40.611,29.127,5,3.2,"TURKEY",935076033
1999,08,19,21:03:19,40.782,30.112,5,3.2,"TURKEY",935096599
1999,08,23,22:08:01,40.736,29.22,5,3.2,"TURKEY",935446081
1999,09,01,21:06:20,40.473,29.03,5,3.2,"TURKEY",936219980
2000,05,29,12:07:47,40.69,29.195,5,3.2,"TURKEY",959602067
2003,10,15,09:37:21,40.278,29.551,5,3.2,"TURKEY",1066210641
2008,04,18,21:12:09,40.5973,29.0148,5,3.2,"TURKEY",1208553129
2010,02,04,16:05:59,40.4122,28.8455,5,3.2,"TURKEY",1265299559
2010,04,09,11:27:11,40.4496,28.9279,5,3.2,"TURKEY",1270812431
2012,01,30,11:02:07,40.2227,28.989,5,3.2,"TURKEY",1327921327
2006,10,21,07:30:36,40.2545,27.9836,4.9,3.2,"TURKEY",1161415836
1982,07,15,17:25:41,40.7593,29.8776,4.8,3.2,"TURKEY",395601941
1999,11,17,13:16:13,40.756,29.983,4.8,3.2,"TURKEY",942844573
1987,07,28,06:09:15,40.1474,28.1549,4.6,3.2,"TURKEY",554450955
1999,05,27,16:31:12,40.315,29.298,4.6,3.2,"TURKEY",927822672
1981,03,12,04:27:24,40.9052,28.4053,4.5,3.2,"TURKEY",353219244
1988,05,06,05:25:07,40.8679,28.2984,4.4,3.2,"TURKEY",578899507
1994,02,24,11:17:38,40.4303,27.9961,4.3,3.2,"TURKEY",762088658
1991,10,10,23:01:57,40.2966,28.2991,4.1,3.2,"TURKEY",687135717
1994,02,18,03:56:13,40.7763,28.068,4.1,3.2,"TURKEY",761543773
1999,08,22,20:08:32,40.626,29.074,4.1,3.2,"TURKEY",935352512
1999,11,05,08:35:11,40.786,29.145,4.1,3.2,"TURKEY",941790911
2000,09,08,14:46:10,40.638,29.075,4.1,3.2,"TURKEY",968424370
1992,03,22,17:02:29,40.2072,28.31,4,3.2,"TURKEY",701283749
1999,08,17,20:38:05,40.694,29.071,4,3.2,"TURKEY",934922285
1992,03,29,04:27:33,40.6055,29.0568,3.9,3.2,"TURKEY",701843253
1999,11,13,21:52:54,40.347,28.971,3.9,3.2,"TURKEY",942529974
2000,08,10,20:53:09,41.296,29.569,3.9,3.2,"TURKEY",965940789
1992,03,22,15:34:49,40.4705,29.2641,3.7,3.2,"TURKEY",701278489
1996,02,19,13:01:13,40.4204,28.3624,3.7,3.2,"TURKEY",824734873
1999,09,03,22:39:12,40.666,29.915,3.7,3.2,"TURKEY",936398352
1991,06,03,11:02:52,40.656,29.8173,3.5,3.2,"TURKEY",675946972
1992,05,19,11:17:03,40.6532,29.8949,3.5,3.2,"TURKEY",706274223
2000,01,23,08:40:55,40.65,29.146,3.4,3.2,"TURKEY",948616855
1993,12,05,07:13:38,40.6775,29.8512,3.3,3.2,"TURKEY",755075618
1999,08,29,18:29:42,40.622,29.011,3.3,3.2,"TURKEY",935951382
1991,03,03,09:09:11,40.6469,28.9983,3.2,3.2,"TURKEY",667991351
1999,01,01,16:21:33,40.671,29.949,3.2,3.2,"TURKEY",915207693
1999,08,19,17:34:09,40.783,30.108,3.2,3.2,"TURKEY",935084049
1999,11,15,05:05:04,40.671,29.108,3.2,3.2,"TURKEY",942642304
1993,08,31,15:18:35,40.5804,28.9668,3,3.2,"TURKEY",746810315
1987,07,29,15:59:32,40.8774,28.4571,2.8,3.2,"TURKEY",554572772
1989,09,03,13:27:20,40.6721,28.1707,2.8,3.2,"TURKEY",620832440
1999,09,03,04:18:07,40.754,28.723,2.8,3.2,"TURKEY",936332287
1999,09,26,23:44:12,40.782,29.689,2.7,3.2,"TURKEY",938389452
1999,09,19,06:01:59,40.857,30.097,2.6,3.2,"TURKEY",937720919
1999,10,12,22:08:51,40.778,30.05,2.5,3.2,"TURKEY",939766131
2008,07,22,10:04:01,40.8077,28.088,2.4,3.2,"TURKEY",1216721041
1986,06,19,03:10:14,40.8527,28.3099,2.2,3.2,"TURKEY",519534614
1992,03,06,05:56:13,40.8342,30.0387,2,3.2,"TURKEY",699861373
2009,08,15,02:11:58,40.2091,28.9769,2,3.2,"TURKEY",1250302318
2009,10,09,11:33:35,40.4078,29.0921,2,3.2,"TURKEY",1255088015
1996,03,05,05:56:57,40.7027,30.0259,1.8,3.2,"TURKEY",826005417
1991,03,15,12:48:54,41.3222,28.1667,1.4,3.2,"TURKEY",669041334
1999,08,30,07:18:03,40.638,29.113,1.4,3.2,"TURKEY",935997483
1984,06,29,22:15:30,40.4447,29.0003,1.3,3.2,"TURKEY",457395330
1997,11,12,13:56:08,40.6697,29.733,1.3,3.2,"TURKEY",879342968
2000,03,25,13:10:58,40.504,29.132,1.3,3.2,"TURKEY",953989858
1999,09,14,21:31:37,40.763,29.981,1.1,3.2,"TURKEY",937344697
1999,08,22,08:25:33,40.647,29.334,0.7,3.2,"TURKEY",935310333
1999,08,31,15:14:46,40.962,29.924,0.7,3.2,"TURKEY",936112486
1992,09,27,09:29:23,40.6832,29.9056,0.5,3.2,"TURKEY",717586163
1999,09,24,00:01:27,40.474,29.108,0.4,3.2,"TURKEY",938131287
1987,06,15,06:44:13,40.5425,29.785,0.3,3.2,"TURKEY",550737853
1976,01,23,19:56:51,40.3838,30.0983,0,3.2,"TURKEY",191275011
1976,06,21,16:34:42,40.2974,29.0501,0,3.2,"TURKEY",204222882
1977,03,01,07:07:34,40.8367,27.9497,0,3.2,"TURKEY",226048054
1977,07,13,07:02:19,40.3539,28.219,0,3.2,"TURKEY",237625339
1977,07,28,08:15:01,40.8965,28.1946,0,3.2,"TURKEY",238925701
1977,12,02,18:39:26,40.2325,29.2661,0,3.2,"TURKEY",249935966
1979,07,02,09:03:29,41.1077,28.6667,0,3.2,"TURKEY",299754209
1980,01,28,00:18:54,40.5831,29.0733,0,3.2,"TURKEY",317866734
1980,08,31,11:37:51,40.1515,28.0699,0,3.2,"TURKEY",336569871
1982,11,02,03:20:22,40.1634,28.9608,0,3.2,"TURKEY",405055222
1986,03,07,09:47:24,40.65,29.7144,0,3.2,"TURKEY",510572844
1990,09,08,04:22:46,40.3398,28.9899,0,3.2,"TURKEY",652767766
1990,09,05,16:21:30,41.0287,28.6781,58.9,3.1,"TURKEY",652551690
2005,07,20,22:17:54,40.752,29.065,26,3.1,"TURKEY",1121897874
1999,08,19,16:30:15,40.674,29.2,25.6,3.1,"TURKEY",935080215
2005,02,23,10:37:43,40.854,28.917,24,3.1,"TURKEY",1109155063
1986,01,27,05:39:36,40.2077,29.3792,23.7,3.1,"TURKEY",507188376
1999,08,19,23:46:13,40.597,29.301,23.2,3.1,"TURKEY",935106373
1993,06,27,11:41:47,40.2993,29.0745,21.5,3.1,"TURKEY",741181307
1999,08,19,15:03:24,40.553,29.524,18.9,3.1,"TURKEY",935075004
1997,02,27,08:25:25,40.6956,29.9032,18.7,3.1,"TURKEY",857031925
2007,10,15,17:05:48,40.4493,27.9484,17.9,3.1,"TURKEY",1192467948
2012,10,10,05:43:37,40.578,29.044,16.8,3.1,"TURKEY",1349847817
1984,01,24,18:29:49,40.128,29.3208,16,3.1,"TURKEY",443816989
2005,01,30,05:14:24,40.634,29.098,16,3.1,"TURKEY",1107062064
2013,05,21,10:05:22,40.4329,28.954,15.8,3.1,"TURKEY",1369130722
2015,01,19,11:10:43,40.8653,28.682,15.7,3.1,"TURKEY",1421665843
1997,03,28,04:01:21,40.7123,29.9117,15.1,3.1,"TURKEY",859521681
1999,07,26,10:13:11,40.893,28.154,15,3.1,"TURKEY",932983991
2002,02,19,13:25:36,40.404,28.633,15,3.1,"TURKEY",1014125136
2006,04,16,20:54:57,40.7554,29.1024,15,3.1,"TURKEY",1145220897
1999,08,18,04:14:58,40.631,30.019,14.8,3.1,"TURKEY",934949698
1997,01,12,13:16:16,40.72,29.95,14,3.1,"TURKEY",853074976
1997,01,12,14:21:09,40.68,29.96,14,3.1,"TURKEY",853078869
1998,06,07,20:03:51,40.876,28.126,14,3.1,"TURKEY",897249831
2002,10,01,04:21:36,40.837,28.058,14,3.1,"TURKEY",1033446096
2005,09,08,00:44:58,40.703,29.257,14,3.1,"TURKEY",1126140298
1991,06,18,08:14:02,40.9972,29.086,13.8,3.1,"TURKEY",677232842
2006,05,21,02:40:17,40.8282,28.0594,13.8,3.1,"TURKEY",1148179217
1998,04,04,01:45:23,40.753,29.9145,13.7,3.1,"TURKEY",891654323
1999,08,17,11:03:16,40.685,29.16,13.6,3.1,"TURKEY",934887796
1993,04,15,10:52:07,40.4009,28.8976,13.4,3.1,"TURKEY",734871127
1983,11,02,19:37:07,40.1673,29.4188,13.3,3.1,"TURKEY",436649827
1999,08,20,06:21:45,40.649,29.093,13.3,3.1,"TURKEY",935130105
2000,11,11,23:29:24,40.591,29.086,13.1,3.1,"TURKEY",973985364
1995,11,29,13:06:59,40.3756,28.3811,13,3.1,"TURKEY",817650419
1997,02,12,14:21:09,40.7045,29.9838,12.7,3.1,"TURKEY",855757269
1999,08,17,16:04:27,40.71,29.203,12.5,3.1,"TURKEY",934905867
1993,09,22,08:53:36,40.1907,29.2774,12.4,3.1,"TURKEY",748688016
2010,09,02,08:15:59,40.1473,28.169,12.4,3.1,"TURKEY",1283415359
1983,11,03,09:02:04,40.2032,29.4528,12.3,3.1,"TURKEY",436698124
1990,07,21,21:36:45,40.2649,29.1683,12.3,3.1,"TURKEY",648596205
1990,12,04,01:19:29,40.2699,29.158,12.3,3.1,"TURKEY",660273569
1999,10,20,23:11:38,40.777,29.003,12.2,3.1,"TURKEY",940461098
1999,10,09,05:23:36,40.755,29.192,12.1,3.1,"TURKEY",939446616
1992,11,02,11:03:03,40.2429,29.5354,12,3.1,"TURKEY",720702183
1999,11,13,18:35:04,40.752,29.423,12,3.1,"TURKEY",942518104
2003,09,18,09:42:57,40.843,28.341,12,3.1,"TURKEY",1063878177
2005,09,08,00:22:10,40.72,29.204,12,3.1,"TURKEY",1126138930
2006,09,16,23:10:38,40.5976,29.154,12,3.1,"TURKEY",1158448238
2007,09,19,21:25:33,40.8673,28.404,12,3.1,"TURKEY",1190237133
1997,02,22,19:39:53,40.7098,29.9511,11.5,3.1,"TURKEY",856640393
1986,03,29,13:12:41,40.138,29.9943,11.4,3.1,"TURKEY",512485961
1999,08,17,08:38:10,40.768,29.538,11.4,3.1,"TURKEY",934879090
1993,09,28,00:07:42,40.6274,29.8331,11.3,3.1,"TURKEY",749174862
1993,10,06,16:48:53,40.6722,29.9065,11.3,3.1,"TURKEY",749926133
2000,04,30,00:51:32,40.78,28.123,11.3,3.1,"TURKEY",957055892
1999,09,06,06:38:42,40.772,29.709,11.1,3.1,"TURKEY",936599922
1997,01,10,21:54:21,40.74,29.97,11,3.1,"TURKEY",852933261
1999,08,22,03:05:32,40.808,29.13,11,3.1,"TURKEY",935291132
1999,11,25,19:16:55,40.662,29.122,11,3.1,"TURKEY",943557415
2001,12,12,17:07:18,40.759,30.096,11,3.1,"TURKEY",1008176838
2004,06,07,13:42:24,40.699,29.329,11,3.1,"TURKEY",1086615744
2011,11,12,12:18:39,40.4093,28.8616,10.9,3.1,"TURKEY",1321100319
1994,02,21,02:51:54,40.7587,28.1301,10.8,3.1,"TURKEY",761799114
2009,06,22,09:29:11,40.4746,29.1318,10.8,3.1,"TURKEY",1245662951
1998,03,31,10:35:50,40.2585,29.2557,10.7,3.1,"TURKEY",891340550
2006,12,05,09:38:24,40.8317,28.0502,10.7,3.1,"TURKEY",1165311504
1991,01,06,16:09:34,40.5907,28.8338,10.6,3.1,"TURKEY",663178174
1995,08,20,00:56:04,40.2157,29.7112,10.6,3.1,"TURKEY",808880164
2000,08,08,16:00:33,40.881,29.323,10.6,3.1,"TURKEY",965750433
1999,10,03,18:17:32,40.748,30.11,10.4,3.1,"TURKEY",938974652
2010,11,12,04:00:30,40.7253,28.9923,10.4,3.1,"TURKEY",1289534430
1997,02,12,13:16:16,40.7481,30.0066,10.3,3.1,"TURKEY",855753376
2011,03,30,18:07:48,40.436,28.0484,10.3,3.1,"TURKEY",1301508468
2014,09,04,08:33:00,40.586,29.0108,10.3,3.1,"TURKEY",1409819580
1993,03,18,13:06:57,40.4334,28.0526,10.2,3.1,"TURKEY",732460017
2014,01,30,02:54:33,40.6743,29.2725,10.1,3.1,"TURKEY",1391050473
1976,05,31,23:44:57,40.4512,28.806,10,3.1,"TURKEY",202434297
1977,08,24,09:16:25,40.622,29.1012,10,3.1,"TURKEY",241262185
1978,07,08,11:26:08,40.8581,29.7484,10,3.1,"TURKEY",268745168
1978,09,03,15:02:24,40.516,29.7467,10,3.1,"TURKEY",273682944
1979,10,08,20:53:17,40.5931,29.7027,10,3.1,"TURKEY",308263997
1981,10,08,00:32:23,40.78,28.8804,10,3.1,"TURKEY",371349143
1981,12,26,18:02:06,40.1368,28.7157,10,3.1,"TURKEY",378237726
1982,06,26,22:04:08,40.3867,28.9415,10,3.1,"TURKEY",393977048
1982,11,15,19:57:27,40.4232,29.807,10,3.1,"TURKEY",406238247
1982,12,20,16:56:33,40.6706,29.2222,10,3.1,"TURKEY",409251393
1983,10,25,21:22:47,40.1586,29.4309,10,3.1,"TURKEY",435964967
1983,11,13,04:42:30,40.2469,29.4167,10,3.1,"TURKEY",437546550
1985,05,30,10:50:59,40.6393,29.9058,10,3.1,"TURKEY",486298259
1985,09,01,00:22:50,40.244,29.3719,10,3.1,"TURKEY",494382170
1985,10,30,20:22:12,40.2777,29.5401,10,3.1,"TURKEY",499551732
1985,12,31,11:50:40,40.5824,29.8917,10,3.1,"TURKEY",504877840
1986,01,27,06:18:48,40.3481,29.5536,10,3.1,"TURKEY",507190728
1986,06,19,19:46:24,40.8795,28.3229,10,3.1,"TURKEY",519594384
1987,06,07,21:32:33,40.1873,29.7259,10,3.1,"TURKEY",550099953
1988,02,06,12:34:25,40.3952,28.909,10,3.1,"TURKEY",571149265
1989,04,14,12:33:44,40.6906,29.9334,10,3.1,"TURKEY",608560424
1989,11,15,00:54:27,40.217,29.2621,10,3.1,"TURKEY",627094467
1990,08,11,15:46:56,41.1891,29.3098,10,3.1,"TURKEY",650389616
1991,06,24,09:42:15,40.6371,28.4472,10,3.1,"TURKEY",677756535
1992,06,28,02:00:06,40.456,28.9861,10,3.1,"TURKEY",709696806
1992,08,20,21:07:46,40.2749,28.7716,10,3.1,"TURKEY",714344866
1992,11,30,12:13:50,41.2634,28.9482,10,3.1,"TURKEY",723125630
1993,03,18,07:55:34,40.4693,28.0944,10,3.1,"TURKEY",732441334
1993,10,23,07:58:37,40.3257,29.3689,10,3.1,"TURKEY",751363117
1994,05,02,21:43:02,40.5379,29.0494,10,3.1,"TURKEY",767914982
1995,05,09,12:13:48,40.7003,29.9109,10,3.1,"TURKEY",800021628
1995,06,08,05:35:11,40.424,29.2147,10,3.1,"TURKEY",802589711
1995,07,27,07:18:00,40.4171,28.8226,10,3.1,"TURKEY",806829480
1996,01,14,10:45:15,40.3124,29.419,10,3.1,"TURKEY",821616315
1996,02,15,02:10:23,40.76,30.0268,10,3.1,"TURKEY",824350223
1996,02,16,04:37:47,40.7231,30.0163,10,3.1,"TURKEY",824445467
1998,10,02,15:21:56,40.2611,28.8548,10,3.1,"TURKEY",907341716
1999,08,17,09:12:22,40.704,29.251,10,3.1,"TURKEY",934881142
1999,08,17,17:26:43,40.619,29.845,10,3.1,"TURKEY",934910803
1999,08,18,09:00:54,40.817,29.04,10,3.1,"TURKEY",934966854
1999,08,19,15:16:51,40.61,29.539,10,3.1,"TURKEY",935075811
1999,08,19,19:43:28,40.68,28.933,10,3.1,"TURKEY",935091808
1999,08,19,20:06:07,40.626,29.081,10,3.1,"TURKEY",935093167
1999,08,19,20:19:56,40.613,29.101,10,3.1,"TURKEY",935093996
1999,08,21,19:38:07,40.916,28.769,10,3.1,"TURKEY",935264287
1999,08,22,08:38:36,40.605,29.075,10,3.1,"TURKEY",935311116
1999,08,22,23:31:38,40.587,29.078,10,3.1,"TURKEY",935364698
1999,08,29,01:15:18,40.131,28.786,10,3.1,"TURKEY",935889318
1999,08,30,22:46:35,40.599,29.022,10,3.1,"TURKEY",936053195
1999,08,31,08:16:52,40.785,29.976,10,3.1,"TURKEY",936087412
1999,09,02,02:52:06,40.73,29.729,10,3.1,"TURKEY",936240726
1999,09,03,02:33:26,40.812,29.865,10,3.1,"TURKEY",936326006
1999,09,06,17:47:08,40.613,28.974,10,3.1,"TURKEY",936640028
1999,11,14,06:03:55,40.627,29.153,10,3.1,"TURKEY",942559435
2000,02,28,18:36:39,40.434,28.985,10,3.1,"TURKEY",951762999
2000,11,04,11:30:49,40.748,29.14,10,3.1,"TURKEY",973337449
2001,10,14,03:23:27,40.764,29.24,10,3.1,"TURKEY",1003029807
2004,10,09,01:46:22,40.839,28.353,10,3.1,"TURKEY",1097286382
2006,09,12,18:18:21,40.7946,28.9768,10,3.1,"TURKEY",1158085101
2007,03,17,00:22:20,40.7097,29.7594,10,3.1,"TURKEY",1174090940
2008,08,12,18:40:49,40.8398,27.9488,10,3.1,"TURKEY",1218566449
